DEPTH      GR         CAL        RES90      RES10      nmrFF      nmrPerm    nmrPhie    nmrPhiT    
M          gAPI       in         ohm.m      ohm.m      Dec        md         Dec        Dec        
$Format : 11,11,11,11,11,11,11,11,11
5418.6271  14.2718    12.2667    -999.0000  -999.0000  0.0754     6.6178     0.0999     0.1126     
5418.6525  17.7590    12.2667    421.4216   1405.7144  0.0742     6.0821     0.0987     0.1117     
5418.6779  17.7590    12.2667    356.8234   1151.9625  0.0742     6.0821     0.0987     0.1117     
5418.7033  17.7590    12.2612    -999.0000  -999.0000  0.0742     6.0821     0.0987     0.1117     
5418.7287  17.7590    12.2448    -999.0000  -999.0000  0.0742     6.0821     0.0987     0.1117     
5418.7541  17.7590    12.2375    -999.0000  -999.0000  0.0742     6.0821     0.0987     0.1117     
5418.7795  17.7590    12.2302    -999.0000  -999.0000  0.0742     6.0821     0.0987     0.1117     
5418.8049  23.4014    12.2302    330.9807   888.0533   0.0650     3.2084     0.0906     0.1048     
5418.8303  23.4014    12.2339    327.6176   691.3024   0.0650     3.2084     0.0906     0.1048     
5418.8557  23.4014    12.2302    -999.0000  -999.0000  0.0650     3.2084     0.0906     0.1048     
5418.8811  23.4014    12.2375    -999.0000  -999.0000  0.0650     3.2084     0.0906     0.1048     
5418.9065  23.4014    12.2229    -999.0000  -999.0000  0.0650     3.2084     0.0906     0.1048     
5418.9319  23.4014    12.2229    -999.0000  -999.0000  0.0650     3.2084     0.0906     0.1048     
5418.9573  32.0520    12.2375    216.7779   542.3698   0.0525     1.2318     0.0803     0.0962     
5418.9827  32.0520    12.2448    184.5697   478.6249   0.0525     1.2318     0.0803     0.0962     
5419.0081  32.0520    12.2594    -999.0000  -999.0000  0.0525     1.2318     0.0803     0.0962     
5419.0335  32.0520    12.2667    -999.0000  -999.0000  0.0525     1.2318     0.0803     0.0962     
5419.0589  32.0520    12.2557    -999.0000  -999.0000  0.0525     1.2318     0.0803     0.0962     
5419.0843  32.0520    12.2776    -999.0000  -999.0000  0.0525     1.2318     0.0803     0.0962     
5419.1097  41.6824    12.2667    145.2481   443.5878   0.0478     0.8410     0.0767     0.0919     
5419.1351  41.6824    12.2885    132.9023   364.4451   0.0478     0.8410     0.0767     0.0919     
5419.1605  41.6824    12.2740    -999.0000  -999.0000  0.0478     0.8410     0.0767     0.0919     
5419.1859  41.6824    12.2885    -999.0000  -999.0000  0.0478     0.8410     0.0767     0.0919     
5419.2113  41.6824    12.2812    -999.0000  -999.0000  0.0478     0.8410     0.0767     0.0919     
5419.2367  41.6824    12.2958    -999.0000  -999.0000  0.0478     0.8410     0.0767     0.0919     
5419.2621  44.9187    12.3031    131.3355   274.6021   0.0436     0.5767     0.0736     0.0878     
5419.2875  44.9187    12.2940    157.1189   232.6762   0.0436     0.5767     0.0736     0.0878     
5419.3129  44.9187    12.2812    -999.0000  -999.0000  0.0436     0.5767     0.0736     0.0878     
5419.3383  44.9187    12.2812    -999.0000  -999.0000  0.0436     0.5767     0.0736     0.0878     
5419.3637  44.9187    12.2958    -999.0000  -999.0000  0.0436     0.5767     0.0736     0.0878     
5419.3891  44.9187    12.2776    -999.0000  -999.0000  0.0436     0.5767     0.0736     0.0878     
5419.4145  45.4063    12.2740    167.8764   201.3953   0.0494     0.9714     0.0846     0.0902     
5419.4399  45.4063    12.2667    169.4164   195.3419   0.0494     0.9714     0.0846     0.0902     
5419.4653  45.4063    12.2594    -999.0000  -999.0000  0.0494     0.9714     0.0846     0.0902     
5419.4907  45.4063    12.2375    -999.0000  -999.0000  0.0494     0.9714     0.0846     0.0902     
5419.5161  45.4063    12.2375    -999.0000  -999.0000  0.0494     0.9714     0.0846     0.0902     
5419.5415  45.4063    12.2156    -999.0000  -999.0000  0.0494     0.9714     0.0846     0.0902     
5419.5669  37.4608    12.2065    168.1779   398.0469   0.0675     3.6645     0.1087     0.1107     
5419.5923  37.4608    12.2083    198.4706   413.3038   0.0675     3.6645     0.1087     0.1107     
5419.6177  37.4608    12.2083    -999.0000  -999.0000  0.0675     3.6645     0.1087     0.1107     
5419.6431  37.4608    12.2065    -999.0000  -999.0000  0.0675     3.6645     0.1087     0.1107     
5419.6685  37.4608    12.2083    -999.0000  -999.0000  0.0675     3.6645     0.1087     0.1107     
5419.6939  37.4608    12.2229    -999.0000  -999.0000  0.0675     3.6645     0.1087     0.1107     
5419.7193  30.3970    12.2156    279.3567   517.5659   0.0830     8.5698     0.1315     0.1337     
5419.7447  30.3970    12.2156    272.9476   624.5419   0.0830     8.5698     0.1315     0.1337     
5419.7701  30.3970    12.2229    -999.0000  -999.0000  0.0830     8.5698     0.1315     0.1337     
5419.7955  30.3970    12.2375    -999.0000  -999.0000  0.0830     8.5698     0.1315     0.1337     
5419.8209  30.3970    12.2302    -999.0000  -999.0000  0.0830     8.5698     0.1315     0.1337     
5419.8463  30.3970    12.2339    -999.0000  -999.0000  0.0830     8.5698     0.1315     0.1337     
5419.8717  21.5077    12.2375    192.4822   718.9203   0.0872     10.4252    0.1351     0.1407     
5419.8971  21.5077    12.2448    187.7979   834.1592   0.0872     10.4252    0.1351     0.1407     
5419.9225  21.5077    12.2375    -999.0000  -999.0000  0.0872     10.4252    0.1351     0.1407     
5419.9479  21.5077    12.2339    -999.0000  -999.0000  0.0872     10.4252    0.1351     0.1407     
5419.9733  21.5077    12.2448    -999.0000  -999.0000  0.0872     10.4252    0.1351     0.1407     
5419.9987  21.5077    12.2375    -999.0000  -999.0000  0.0872     10.4252    0.1351     0.1407     
5420.0241  20.7317    12.2448    208.6280   990.8943   0.0914     12.5660    0.1387     0.1477     
5420.0495  20.7317    12.2284    301.2223   1179.3462  0.0914     12.5660    0.1387     0.1477     
5420.0749  20.7317    12.2229    -999.0000  -999.0000  0.0914     12.5660    0.1387     0.1477     
5420.1003  20.7317    12.2375    -999.0000  -999.0000  0.0914     12.5660    0.1387     0.1477     
5420.1257  20.7317    12.2229    -999.0000  -999.0000  0.0914     12.5660    0.1387     0.1477     
5420.1511  20.7317    12.2393    -999.0000  -999.0000  0.0914     12.5660    0.1387     0.1477     
5420.1765  21.6131    12.2229    255.3150   1352.4850  0.0968     17.7012    0.1355     0.1453     
5420.2019  21.6131    12.2229    241.8548   1465.4023  0.0968     17.7012    0.1355     0.1453     
5420.2273  21.6131    12.2375    -999.0000  -999.0000  0.0968     17.7012    0.1355     0.1453     
5420.2527  21.6131    12.2393    -999.0000  -999.0000  0.0968     17.7012    0.1355     0.1453     
5420.2781  21.6131    12.2448    -999.0000  -999.0000  0.0968     17.7012    0.1355     0.1453     
5420.3035  21.6131    12.2229    -999.0000  -999.0000  0.0968     17.7012    0.1355     0.1453     
5420.3289  22.7033    12.2375    262.3968   1646.9904  0.0870     12.8527    0.1183     0.1248     
5420.3543  22.7033    12.2175    186.8790   1789.4271  0.0870     12.8527    0.1183     0.1248     
5420.3797  22.7033    12.2302    -999.0000  -999.0000  0.0870     12.8527    0.1183     0.1248     
5420.4051  22.7033    12.2302    -999.0000  -999.0000  0.0870     12.8527    0.1183     0.1248     
5420.4305  22.7033    12.2375    -999.0000  -999.0000  0.0870     12.8527    0.1183     0.1248     
5420.4559  22.7033    12.2448    -999.0000  -999.0000  0.0870     12.8527    0.1183     0.1248     
5420.4813  21.3455    12.2302    203.6019   1890.6824  0.0734     6.8088     0.1001     0.1036     
5420.5067  21.3455    12.2448    264.8609   1950.0000  0.0734     6.8088     0.1001     0.1036     
5420.5321  21.3455    12.2302    -999.0000  -999.0000  0.0734     6.8088     0.1001     0.1036     
5420.5575  21.3455    12.2448    -999.0000  -999.0000  0.0734     6.8088     0.1001     0.1036     
5420.5829  21.3455    12.2448    -999.0000  -999.0000  0.0734     6.8088     0.1001     0.1036     
5420.6083  21.3455    12.2667    -999.0000  -999.0000  0.0734     6.8088     0.1001     0.1036     
5420.6337  23.1310    12.2521    215.8677   1950.0000  0.0699     4.6962     0.1009     0.1065     
5420.6591  23.1310    12.2667    516.9819   1950.0000  0.0699     4.6962     0.1009     0.1065     
5420.6845  23.1310    12.2594    -999.0000  -999.0000  0.0699     4.6962     0.1009     0.1065     
5420.7099  23.1310    12.2521    -999.0000  -999.0000  0.0699     4.6962     0.1009     0.1065     
5420.7353  23.1310    12.2594    -999.0000  -999.0000  0.0699     4.6962     0.1009     0.1065     
5420.7607  23.1310    12.2229    -999.0000  -999.0000  0.0699     4.6962     0.1009     0.1065     
5420.7861  26.7912    12.2175    520.9692   1950.0000  0.0670     3.5336     0.1029     0.1109     
5420.8115  26.7912    12.2083    339.7753   1950.0000  0.0670     3.5336     0.1029     0.1109     
5420.8369  26.7912    12.2011    -999.0000  -999.0000  0.0670     3.5336     0.1029     0.1109     
5420.8623  26.7912    12.2011    -999.0000  -999.0000  0.0670     3.5336     0.1029     0.1109     
5420.8877  26.7912    12.1846    -999.0000  -999.0000  0.0670     3.5336     0.1029     0.1109     
5420.9131  26.7912    12.1938    -999.0000  -999.0000  0.0670     3.5336     0.1029     0.1109     
